symbol,date,open,high,low,close,volume,change,changePercent,vwap
JPM,2026-01-09,329.34,331.9,328.17,329.19,6738143,-0.15,-0.04554564,329.65
JPM,2026-01-12,321.88,326.02,321.23,324.49,12805100,2.61,0.81086,323.405
JPM,2026-01-13,324.3,326.86,310.57,310.9,19371200,-13.4,-4.13,318.1575
JPM,2026-01-14,308.2,311.76,306.12,307.87,25951500,-0.33,-0.10707,308.4875
JPM,2026-01-15,308.47,312.94,307.75,309.34,14751447,0.87,0.28204,309.625
JPM,2026-01-16,310.35,317.21,310.0,312.47,14652508,2.12,0.6831,312.5075
JNJ,2024-01-16,161.57,162.25,160.18,160.52,6923174,-1.05,-0.64987,161.13
JNJ,2024-01-17,160.25,161.3,159.87,160.43,5072104,0.18,0.11232,160.4625
JNJ,2024-01-18,160.0,161.37,159.69,161.21,5368502,1.21,0.75625,160.5675
JNJ,2024-01-19,161.15,161.92,160.28,161.68,7071320,0.53,0.32889,161.2575
JNJ,2024-01-22,162.0,163.58,161.34,162.47,6824156,0.47,0.29012,162.3475
JNJ,2024-01-23,159.66,160.51,156.91,159.81,9149777,0.15,0.09394964,159.2225
JNJ,2024-01-24,159.75,160.6,158.16,158.96,7247926,-0.79,-0.49452,159.3675
JNJ,2024-01-25,159.0,159.62,158.47,159.56,5478898,0.56,0.3522,159.1625
JNJ,2024-01-26,160.43,160.74,159.36,159.5,5591930,-0.93,-0.57969,160.0075
JNJ,2024-01-29,159.01,160.07,158.96,159.36,6483190,0.35,0.22011,159.35
JNJ,2024-01-30,159.35,159.76,158.13,158.77,7200538,-0.58,-0.36398,159.0025
JNJ,2024-01-31,160.4,160.62,158.67,158.9,8257029,-1.5,-0.93516,159.6475
JNJ,2024-02-01,158.16,158.49,157.05,158.36,8012122,0.2,0.12645,158.015
JNJ,2024-02-02,157.97,158.31,155.94,156.61,8295916,-1.36,-0.86092,157.2075
JNJ,2024-02-05,156.61,156.89,155.34,155.8,9121808,-0.81,-0.51721,156.16
JNJ,2024-02-06,155.83,158.73,155.6,158.06,9230611,2.23,1.43,157.055
JNJ,2024-02-07,157.8,159.37,157.69,157.98,8690294,0.18,0.11407,158.21
JNJ,2024-02-08,157.34,157.34,155.31,156.4,9754960,-0.94,-0.59743,156.5975
JNJ,2024-02-09,156.27,157.2,155.67,156.76,6529202,0.49,0.31356,156.475
JNJ,2024-02-12,156.58,158.41,156.35,157.85,6701508,1.27,0.81109,157.2975
JNJ,2024-02-13,157.64,158.45,155.75,156.47,8621022,-1.17,-0.7422,157.0775
JNJ,2024-02-14,156.35,156.46,154.84,155.74,9098805,-0.61,-0.39015,155.8475
JNJ,2024-02-15,155.98,158.48,155.89,157.92,7462529,1.94,1.24,157.0675
JNJ,2024-02-16,156.6,157.26,155.67,156.55,8540961,-0.05,-0.03192848,156.52
JNJ,2024-02-20,156.56,158.61,156.44,157.86,9501742,1.3,0.83035,157.3675
JNJ,2024-02-21,158.02,158.69,157.13,158.68,7473300,0.66,0.41767,158.13
JNJ,2024-02-22,158.98,160.74,157.77,160.45,8065010,1.47,0.92464,159.485
JNJ,2024-02-23,160.88,162.25,160.16,161.84,6725963,0.96,0.59672,161.2825
JNJ,2024-02-26,161.8,162.01,160.57,160.79,5465417,-1.01,-0.62423,161.2925
JNJ,2024-02-27,160.34,161.04,159.64,160.98,5078650,0.64,0.39915,160.5
JNJ,2024-02-28,161.0,161.61,160.29,161.55,6071076,0.55,0.34161,161.1125
JNJ,2024-02-29,162.0,162.19,160.94,161.38,9849270,-0.62,-0.38272,161.6275
JNJ,2024-03-01,161.83,162.57,161.09,162.12,5670135,0.29,0.1792,161.9025
JNJ,2024-03-04,161.32,161.61,158.27,159.84,8533083,-1.48,-0.91743,160.26
JNJ,2024-03-05,160.62,161.24,159.2,159.97,8298182,-0.65,-0.40468,160.2575
JNJ,2024-03-06,159.46,160.93,159.22,159.34,5773683,-0.12,-0.07525398,159.7375
JNJ,2024-03-07,160.0,160.36,158.24,158.87,5188726,-1.13,-0.70625,159.3675
JNJ,2024-03-08,158.87,160.39,158.43,159.52,5283951,0.65,0.40914,159.3025
JNJ,2024-03-11,159.49,161.32,158.88,161.23,4620826,1.74,1.09,160.23
JNJ,2024-03-12,161.58,163.11,161.13,162.74,8018736,1.16,0.71791,162.14
JNJ,2024-03-13,162.53,162.68,159.81,161.1,6260000,-1.43,-0.87984,161.53
JNJ,2024-03-14,160.94,161.54,158.69,159.21,6988264,-1.73,-1.07,160.095
JNJ,2024-03-15,158.06,159.19,157.1,158.18,13165500,0.12,0.07592054,158.1325
JNJ,2024-03-18,158.57,158.69,156.5,156.76,6602255,-1.81,-1.14,157.63
JNJ,2024-03-19,156.67,156.86,155.66,156.21,7840624,-0.46,-0.29361,156.35
JNJ,2024-03-20,155.7,156.44,155.21,155.76,5982304,0.06,0.03853565,155.7775
JNJ,2024-03-21,155.59,156.95,155.1,155.75,5915777,0.16,0.10283,155.8475
JNJ,2024-03-22,155.69,156.36,155.11,155.23,7248622,-0.46,-0.29546,155.5975
JNJ,2024-03-25,155.4,155.98,154.9,155.22,7498100,-0.18,-0.11583,155.375
JNJ,2024-03-26,155.61,156.23,154.76,155.77,6864099,0.16,0.10282,155.5925
JNJ,2024-03-27,155.99,158.22,155.44,157.96,8461600,1.97,1.26,156.9025
JNJ,2024-03-28,158.2,159.14,158.11,158.19,6181503,-0.01,-0.00632111,158.41
JNJ,2024-04-01,157.72,158.15,156.77,157.78,4364699,0.06,0.0380421,157.605
JNJ,2024-04-02,156.57,157.83,155.95,157.73,6102497,1.16,0.74088,157.02
JNJ,2024-04-03,157.79,158.05,154.25,154.26,8098242,-3.53,-2.24,156.0875
JNJ,2024-04-04,155.31,155.5,152.41,152.5,6947423,-2.81,-1.81,153.93
JNJ,2024-04-05,152.03,153.01,151.61,152.39,6783020,0.36,0.2368,152.26
JNJ,2024-04-08,151.99,153.04,151.56,151.59,5935415,-0.4,-0.26318,152.045
JNJ,2024-04-09,151.55,152.53,150.94,152.29,6135556,0.74,0.48829,151.8275
JNJ,2024-04-10,151.53,151.82,149.76,150.2,6809519,-1.33,-0.87771,150.8275
JNJ,2024-04-11,150.8,150.87,148.39,148.79,8374434,-2.01,-1.33,149.7125
JNJ,2024-04-12,148.06,149.07,147.15,147.52,7100178,-0.54,-0.36472,147.95
JNJ,2024-04-15,148.37,149.49,147.37,147.59,8502266,-0.78,-0.52571,148.205
JNJ,2024-04-16,145.01,146.25,143.39,144.45,12774859,-0.56,-0.38618,144.775
JNJ,2024-04-17,145.0,145.41,143.54,144.77,9378059,-0.23,-0.15862,144.68
JNJ,2024-04-18,144.98,145.8,143.13,145.74,9887704,0.76,0.52421,144.9125
JNJ,2024-04-19,146.15,148.13,144.54,147.91,9750751,1.76,1.2,146.6825
JNJ,2024-04-22,148.51,150.27,147.3,149.12,10118694,0.61,0.41075,148.8
JNJ,2024-04-23,149.86,150.49,148.2,149.56,10110442,-0.3,-0.20019,149.5275
JNJ,2024-04-24,148.14,148.99,146.86,148.53,9756259,0.39,0.26326,148.13
JNJ,2024-04-25,149.37,149.58,146.33,146.82,7642732,-2.55,-1.71,148.025
JNJ,2024-04-26,146.7,147.18,145.95,146.14,6182982,-0.56,-0.38173,146.4925
JNJ,2024-04-29,146.14,147.22,145.99,146.82,6461588,0.68,0.46531,146.5425
